x1 [mol/mol],y1 [mol/mol]
0.00000,0.00000
0.03300,0.11100
0.07800,0.21600
0.14900,0.34500
0.19500,0.41000
0.31600,0.53400
0.41400,0.61400
0.53200,0.69700
0.69100,0.79600
0.85200,0.89600
1.00000,1.00000
