x1 [mol/mol],y1 [mol/mol]
0.0,0.0
0.03450,0.17480
0.08800,0.33420
0.19270,0.48930
0.29040,0.56220
0.38020,0.60490
0.44960,0.63080
0.52470,0.65370
0.61380,0.67890
0.70400,0.70470
0.79530,0.73370
0.90200,0.79340
0.95280,0.85330
1.0,1.0
