x1 [mol/mol],y1 [mol/mol]
0.0,0.0
0.01700,0.34900
0.02400,0.39800
0.05500,0.51800
0.10700,0.60800
0.19400,0.67000
0.27300,0.69500
0.38800,0.71800
0.54500,0.74700
0.63300,0.76800
0.77800,0.83000
0.89000,0.90300
0.95000,0.95100
1.0,1.0
